,UMAP1,UMAP2,UMAP3,genus
Adansonia,-0.13050399287569503,1.1087221928501838,0.8341964697224195,Adansonia
Afzelia,-1.5748675621083037,-2.112785945085822,-0.6798169511150772,Afzelia
Aganope,-1.4200200575292432,-1.6596788384959493,0.12150844344316096,Aganope
Albizia,-1.1906171990782553,-1.2886574392976051,-0.7776074774375109,Albizia
Aloe,-0.45812854843792683,1.6646066150767553,0.4093872564163594,Aloe
Androstachys,-0.9899606687417694,-3.4432201940637115,-4.009802353723946,Androstachys
Annona,-0.2989133659104906,0.880441393736914,0.7034466012826226,Annona
Antidesma,0.9392463028918374,3.1561325499438992,1.8162968079290758,Antidesma
Artabotrys,-1.5518332693197237,-1.7234033462998155,0.3123441301613624,Artabotrys
Asparagus,-0.12448964614750772,1.3682237336123293,0.924737660709295,Asparagus
Balanites,-1.2310597559255763,-0.5329581992560725,0.5186916391160912,Balanites
Bauhinia,-0.5935141599520729,1.5032590309308844,0.658662628389524,Bauhinia
Berchemia,-0.26282157105976417,1.3935266006200089,0.8735278227705061,Berchemia
Bobgunnia,0.735075150450868,2.8978899919075785,1.9918717347937984,Bobgunnia
Boscia,-3.071226647344045,-3.6614513091269334,1.2165838524235426,Boscia
Brachystegia,0.8482687235066545,3.2128896730507064,1.5335572677107465,Brachystegia
Bridelia,0.26339048286535277,3.126403997146946,1.380584564709458,Bridelia
Burkea,0.5738176163913956,2.4125906441959475,2.088320400850893,Burkea
Cassia,-0.463970503538029,0.33638266212296863,0.26284692962396916,Cassia
Catunaregam,0.4735719449865669,2.8791823309829945,1.4440154672031196,Catunaregam
Cercidoideae,-0.28280204519547775,0.9914645785825298,0.42793176483229384,Cercidoideae
Cissus,1.0084078853318201,2.8932943301170937,1.4363129340224652,Cissus
Colophospermum,-4.774134248969291,-5.581491520874667,0.0315086608699242,Colophospermum
Combretum,-1.218071972729921,-0.8944657349809444,0.48526313348839745,Combretum
Commiphora,-1.7456607365027323,-1.499296003191726,0.39814436471240416,Commiphora
Crossopteryx,0.04785110238289679,1.992106764624838,1.0930419362215678,Crossopteryx
Croton,-1.5186019199790242,-2.940761785909491,-1.863404440769936,Croton
Cussonia,0.1433556092109874,1.5683306132091237,0.9291731108492755,Cussonia
Dalbergia,-0.16135472210465954,1.7605752621899502,0.9969879648038625,Dalbergia
Dalbergiella,0.6291637478716036,3.212571052556475,1.5319640278877076,Dalbergiella
Dichrostachys,-0.955406461295757,-0.26201190313420425,0.6403006704712539,Dichrostachys
Diospyros,-0.3405187007853774,1.29498300831975,1.0101522196726602,Diospyros
Diplorhynchus,0.37761197530112295,2.259081947525225,1.1943720641732942,Diplorhynchus
Erythrina,0.5551053984318284,3.135895383849324,1.4771621250936364,Erythrina
Erythrophleum,0.4425601554220339,2.6409402514669904,1.6273243162623767,Erythrophleum
Faurea,0.7313502348894191,3.5186056430179455,2.3603656470213417,Faurea
Ficus,-0.17551268010388202,1.766569247600465,1.7003374372954003,Ficus
Flacourtia,0.6962898995112567,3.4159023590063815,2.0463980782585276,Flacourtia
Garcinia,0.2738631005574804,2.762318725506422,1.8459932465371311,Garcinia
Gardenia,-1.705095577332814,-2.1142707751929404,0.2476234250206037,Gardenia
Glenniea,-4.28390835488596,-5.150640318181248,0.19232377693677502,Glenniea
Grewia,-2.7445204732142368,-4.1224405389582595,-1.5154032974262714,Grewia
Guibourtia,-1.9691926709402754,-2.7289729295464102,-0.4263391092099599,Guibourtia
Hymenocardia,0.1819643928859074,2.4162377142692484,1.7924582882940339,Hymenocardia
Indet,-0.7748989538581931,0.1653232904695393,0.13916159205410086,Indet
Julbernardia,0.4960943881460509,3.2267339358816027,1.7581290451602876,Julbernardia
Kigelia,-0.5402334184247893,0.5276825584680843,0.45814713073246977,Kigelia
Lannea,-0.19959437647490197,1.0472566917475095,0.6691360739718877,Lannea
Lecaniodiscus,0.2332817526596723,2.285308059617843,1.6987346479894188,Lecaniodiscus
Maerua,-1.9060593054914232,-3.1874077707456854,-1.6877399343446642,Maerua
Manilkara,-2.1212790845734246,-2.0306435136779037,-0.09240502098830754,Manilkara
Margaritaria,-0.6025893491707138,0.730633649307979,0.09296790575784558,Margaritaria
Monotes,0.5073350474706675,3.1003183286856433,2.1838890816865173,Monotes
