plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_1,-0.9689385,-0.5749135,-0.45642686,0.26666666666666666,0.2,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_10,1.2348481,3.28052,0.8768486,1.4,0.06666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_100,-0.91220933,0.077260055,-0.22121856,0.2,0.6666666666666666,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_102,1.2964299,3.5613132,1.1417013,0.8666666666666667,0.6,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_105,-0.6574461,0.029933417,0.82525873,0.26666666666666666,0.2,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_106,0.09203317,1.5723174,0.66491973,0.9333333333333333,0.0,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_107,0.8594242,3.0159314,0.85177267,0.8,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_109,-0.67197704,-0.008403933,0.82657397,0.4,0.4,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_11,0.24646929,2.1214268,0.7770039,0.7333333333333333,0.5333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_111,-1.0479449,-0.656377,0.7872694,0.5333333333333333,0.26666666666666666,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_113,-1.4714506,-1.2142043,0.86293006,0.7333333333333333,0.5333333333333333,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0
MAR_114,-1.4725037,-1.1685338,0.87841463,0.8,0.4,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0
MAR_117,-1.0237161,-0.23695947,0.08965193,0.26666666666666666,1.2,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_118,-1.2843534,-1.31209,0.85309803,0.2,0.6,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0
MAR_119,0.7446131,2.6701195,1.2876749,0.9333333333333333,0.9333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_12,-0.4499123,1.4731464,1.6160377,0.7333333333333333,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_120,-0.04868382,2.994798,1.497873,0.8666666666666667,0.26666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_121,-0.11941881,3.0693662,1.6357301,0.4666666666666667,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_122,0.48980713,3.6875665,2.5540752,0.5333333333333333,0.6666666666666666,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_123,0.34984478,3.2530167,1.0929688,0.5333333333333333,0.9333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
