system:index,B3_max,B3_mean,B3_median,B3_min,B3_p5,B3_p95,B3_stdDev,B4_max,B4_mean,B4_median,B4_min,B4_p5,B4_p95,B4_stdDev,B5_max,B5_mean,B5_median,B5_min,B5_p5,B5_p95,B5_stdDev,B6_max,B6_mean,B6_median,B6_min,B6_p5,B6_p95,B6_stdDev,B7_max,B7_mean,B7_median,B7_min,B7_p5,B7_p95,B7_stdDev,B8_max,B8_mean,B8_median,B8_min,B8_p5,B8_p95,B8_stdDev,census_date,country_iso3,latitude_of_centre,longitude_of_centre,plot_area,plot_id,plot_shape,wetmonths_era,.geo
00000000000000000138_0_0,2006,690.7083333333334,625.0,470,487.0,881.0,273.3982868708012,2688,705.6041666666666,580.5,374,409.0,1036.0,399.2995293627399,3102,1136.2916666666667,1058.5,780,845.0,1407.0,381.2087113343846,4425,1974.2916666666667,1871.5,1506,1560.0,2691.0,473.8692663564731,4870,2269.5416666666665,2114.0,1667,1809.0,3083.0,529.6297039100891,4164,2332.5833333333335,2280.0,1408,1884.0,3124.0,433.6244454850557,2014,MOZ,-23.380427,32.723016,0.0314159265358979,MAR_350,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0_0,1558,811.6734693877551,822.0,452,611.0,1030.0,173.14808900099945,1998,935.9387755102041,936.0,421,671.0,1232.0,245.2807144979463,2181,1264.8775510204082,1283.0,700,1009.0,1566.0,224.00479519767734,2691,1929.5102040816328,1874.0,1317,1512.0,2632.0,329.4809847072087,3196,2187.7755102040815,2165.0,1479,1679.0,3097.0,402.1095528105172,3250,2324.8571428571427,2336.0,1456,1916.0,2918.0,336.64903301297545,2014,MOZ,-23.37729,32.686445,0.0314159265358979,MAR_354,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d_0_0,1558,811.6734693877551,822.0,452,611.0,1030.0,173.14808900099945,1998,935.9387755102041,936.0,421,671.0,1232.0,245.2807144979463,2181,1264.8775510204082,1283.0,700,1009.0,1566.0,224.00479519767734,2691,1929.5102040816328,1874.0,1317,1512.0,2632.0,329.4809847072087,3196,2187.7755102040815,2165.0,1479,1679.0,3097.0,402.1095528105172,3250,2324.8571428571427,2336.0,1456,1916.0,2918.0,336.64903301297545,2014,MOZ,-23.360939,32.701395,0.0314159265358979,MAR_372,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0_0,2006,690.7083333333334,625.0,470,487.0,881.0,273.3982868708012,2688,705.6041666666666,580.5,374,409.0,1036.0,399.2995293627399,3102,1136.2916666666667,1058.5,780,845.0,1407.0,381.2087113343846,4425,1974.2916666666667,1871.5,1506,1560.0,2691.0,473.8692663564731,4870,2269.5416666666665,2114.0,1667,1809.0,3083.0,529.6297039100891,4164,2332.5833333333335,2280.0,1408,1884.0,3124.0,433.6244454850557,2014,MOZ,-23.387485,32.730353,0.0706858347057703,MAR_346,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0_0,1558,811.6734693877551,822.0,452,611.0,1030.0,173.14808900099945,1998,935.9387755102041,936.0,421,671.0,1232.0,245.2807144979463,2181,1264.8775510204082,1283.0,700,1009.0,1566.0,224.00479519767734,2691,1929.5102040816328,1874.0,1317,1512.0,2632.0,329.4809847072087,3196,2187.7755102040815,2165.0,1479,1679.0,3097.0,402.1095528105172,3250,2324.8571428571427,2336.0,1456,1916.0,2918.0,336.64903301297545,2014,MOZ,-23.369919,32.717715,0.0706858347057703,MAR_364,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0_0,2006,690.7083333333334,625.0,470,487.0,881.0,273.3982868708012,2688,705.6041666666666,580.5,374,409.0,1036.0,399.2995293627399,3102,1136.2916666666667,1058.5,780,845.0,1407.0,381.2087113343846,4425,1974.2916666666667,1871.5,1506,1560.0,2691.0,473.8692663564731,4870,2269.5416666666665,2114.0,1667,1809.0,3083.0,529.6297039100891,4164,2332.5833333333335,2280.0,1408,1884.0,3124.0,433.6244454850557,2014,MOZ,-23.364128,32.727714,0.0706858347057703,MAR_368,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.272123,36.501926,0.125663706143592,MAR_5,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.270338,36.501956,0.125663706143592,MAR_6,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.262356,36.503577,0.125663706143592,MAR_7,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.277197,36.51721,0.125663706143592,MAR_9,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
