system:index,Dormancy,EVI_Amplitude,EVI_Area,EVI_Minimum,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,census_date,country_iso3,elevation,hnd,latitude_of_centre,longitude_of_centre,plot_area,plot_id,plot_shape,tpi,wetmonths_era,.geo
00000000000000000138_0_0,17370.727272727272,2345.2727272727275,144.0909090909091,2096.2727272727275,17117.363636363636,17195.636363636364,17303.18181818182,17153.727272727272,17215.909090909092,17241.272727272728,243.0,141.0,61.0,3096.0,343.0,113.0,230.0,276.0,213.0,276.0,199.0,490.0,98.0,3.0,87.0,284.0,17.0,284.0,19.0,2014,MOZ,118,0.0,-23.380427,32.723016,0.0314159265358979,MAR_350,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0_0,17538.6,2404.4,166.0,1722.8,17295.3,17377.9,17483.3,17330.7,17403.3,17428.9,242.0,141.0,60.0,3142.0,343.0,111.0,232.0,276.0,212.0,276.0,197.0,482.0,96.0,3.0,85.0,277.0,17.0,277.0,19.0,2014,MOZ,125,0.40000153,-23.37729,32.686445,0.0314159265358979,MAR_354,circle,-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d_0_0,17538.6,2404.4,166.0,1722.8,17295.3,17377.9,17483.3,17330.7,17403.3,17428.9,242.0,141.0,60.0,3142.0,343.0,111.0,232.0,276.0,212.0,276.0,197.0,482.0,96.0,3.0,85.0,277.0,17.0,277.0,19.0,2014,MOZ,125,0.40000153,-23.360939,32.701395,0.0314159265358979,MAR_372,circle,-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0_0,17370.727272727272,2345.2727272727275,144.0909090909091,2096.2727272727275,17117.363636363636,17195.636363636364,17303.18181818182,17153.727272727272,17215.909090909092,17241.272727272728,243.0,141.0,61.0,3096.0,343.0,113.0,230.0,276.0,213.0,276.0,199.0,490.0,98.0,3.0,87.0,284.0,17.0,284.0,19.0,2014,MOZ,118,0.0,-23.387485,32.730353,0.0706858347057703,MAR_346,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0_0,17538.6,2404.4,166.0,1722.8,17295.3,17377.9,17483.3,17330.7,17403.3,17428.9,242.0,141.0,60.0,3142.0,343.0,111.0,232.0,276.0,212.0,276.0,197.0,482.0,96.0,3.0,85.0,277.0,17.0,277.0,19.0,2014,MOZ,125,0.40000153,-23.369919,32.717715,0.0706858347057703,MAR_364,circle,-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0_0,17370.727272727272,2345.2727272727275,144.0909090909091,2096.2727272727275,17117.363636363636,17195.636363636364,17303.18181818182,17153.727272727272,17215.909090909092,17241.272727272728,243.0,141.0,61.0,3096.0,343.0,113.0,230.0,276.0,213.0,276.0,199.0,490.0,98.0,3.0,87.0,284.0,17.0,284.0,19.0,2014,MOZ,118,0.0,-23.364128,32.727714,0.0706858347057703,MAR_368,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.272123,36.501926,0.125663706143592,MAR_5,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.270338,36.501956,0.125663706143592,MAR_6,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.262356,36.503577,0.125663706143592,MAR_7,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.277197,36.51721,0.125663706143592,MAR_9,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
