system:index,fire_frequency,plot_id,.geo
00000000000000000138_0_0,0,MAR_350,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0_0,2,MAR_354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d_0_0,2,MAR_372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0_0,0,MAR_346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0_0,2,MAR_364,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0_0,0,MAR_368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0_0,18,MAR_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0_0,18,MAR_6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0_0,18,MAR_7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0_0,18,MAR_9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0_0,18,MAR_10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0_0,18,MAR_11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0_0,18,MAR_12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0_0,9,MAR_24,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0_0,9,MAR_25,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0_0,14,MAR_27,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0_0,14,MAR_28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0_0,14,MAR_30,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0_0,14,MAR_31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0_0,9,MAR_32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0_0,9,MAR_33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0_0,9,MAR_34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0_0,9,MAR_35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0_0,9,MAR_36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0_0,9,MAR_37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0_0,9,MAR_38,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0_0,9,MAR_39,"{""type"":""MultiPoint"",""coordinates"":[]}"
