system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
00000000000000000138_0_0,141,144,4,4,68,67,2,1,26,26,1,1,20,22,2,3,42,31,3,3,54,55,2,2,57,41,9,11,63,64,2,2,22,20,1,0,MAR_350,46,44,2,2,66,62,3,4,12,11,2,2,20,16,2,2,17,13,3,6,16,15,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0_0,143,145,3,3,68,68,1,1,24,24,0,0,18,21,4,4,44,33,4,4,53,54,1,1,61,49,9,10,67,68,1,1,22,20,1,1,MAR_354,48,47,2,2,68,68,3,2,13,13,2,2,19,14,1,1,16,12,4,6,14,13,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d_0_0,143,145,3,3,68,68,1,1,24,24,0,0,18,21,4,4,44,33,4,4,53,54,1,1,61,49,9,10,67,68,1,1,22,20,1,1,MAR_372,48,47,2,2,68,68,3,2,13,13,2,2,19,14,1,1,16,12,4,6,14,13,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0_0,141,144,4,4,68,67,2,1,26,26,1,1,20,22,2,3,42,31,3,3,54,55,2,2,57,41,9,11,63,64,2,2,22,20,1,0,MAR_346,46,44,2,2,66,62,3,4,12,11,2,2,20,16,2,2,17,13,3,6,16,15,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0_0,143,145,3,3,68,68,1,1,24,24,0,0,18,21,4,4,44,33,4,4,53,54,1,1,61,49,9,10,67,68,1,1,22,20,1,1,MAR_364,48,47,2,2,68,68,3,2,13,13,2,2,19,14,1,1,16,12,4,6,14,13,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0_0,141,144,4,4,68,67,2,1,26,26,1,1,20,22,2,3,42,31,3,3,54,55,2,2,57,41,9,11,63,64,2,2,22,20,1,0,MAR_368,46,44,2,2,66,62,3,4,12,11,2,2,20,16,2,2,17,13,3,6,16,15,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0_0,133,136,5,6,64,62,2,2,26,26,1,2,24,30,3,3,43,34,4,4,54,54,3,3,75,56,9,8,60,60,1,1,25,23,2,2,MAR_5,47,45,1,1,57,54,4,2,14,14,2,2,24,19,1,1,14,11,5,6,11,10,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0_0,133,136,5,6,64,62,2,2,26,26,1,2,24,30,3,3,43,34,4,4,54,54,3,3,75,56,9,8,60,60,1,1,25,23,2,2,MAR_6,47,45,1,1,57,54,4,2,14,14,2,2,24,19,1,1,14,11,5,6,11,10,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0_0,133,136,5,6,64,62,2,2,26,26,1,2,24,30,3,3,43,34,4,4,54,54,3,3,75,56,9,8,60,60,1,1,25,23,2,2,MAR_7,47,45,1,1,57,54,4,2,14,14,2,2,24,19,1,1,14,11,5,6,11,10,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0_0,133,136,5,6,64,62,2,2,26,26,1,2,24,30,3,3,43,34,4,4,54,54,3,3,75,56,9,8,60,60,1,1,25,23,2,2,MAR_9,47,45,1,1,57,54,4,2,14,14,2,2,24,19,1,1,14,11,5,6,11,10,2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
