plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8,country_iso3,plot_shape,plot_area,latitude_of_centre,longitude_of_centre,census_date,fire_frequency,EVI_mean,EVI_median,EVI_max,EVI_min,EVI_stdDev,EVI_p5,EVI_p95,B9_mean,B9_median,B9_max,B9_min,B9_stdDev,B9_p5,B9_p95,B11_mean,B11_median,B11_max,B11_min,B11_stdDev,B11_p5,B11_p95,B12_mean,B12_median,B12_max,B12_min,B12_stdDev,B12_p5,B12_p95,B1_mean,B1_median,B1_max,B1_min,B1_stdDev,B1_p5,B1_p95,B2_mean,B2_median,B2_max,B2_min,B2_stdDev,B2_p5,B2_p95,B3_mean,B3_median,B3_max,B3_min,B3_stdDev,B3_p5,B3_p95,B4_mean,B4_median,B4_max,B4_min,B4_stdDev,B4_p5,B4_p95,B5_mean,B5_median,B5_max,B5_min,B5_stdDev,B5_p5,B5_p95,B6_mean,B6_median,B6_max,B6_min,B6_stdDev,B6_p5,B6_p95,B7_mean,B7_median,B7_max,B7_min,B7_stdDev,B7_p5,B7_p95,B8_mean,B8_median,B8_max,B8_min,B8_stdDev,B8_p5,B8_p95,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Greenup,MidGreenup,Peak,Maturity,Senescence,MidGreendown,Dormancy,EVI_Minimum,EVI_Amplitude,EVI_Area,tpi,hnd,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50
MAR_1,-0.9689385,-0.5749135,-0.45642686,0.2666666666666666,0.2,0,0,0,4,4,4,4,4,0,0.0,0.0,0.1,0.1.1,0.1.1.1,0.1.1.1,MOZ,circle,0.125663706143592,-15.271106,36.485275,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_10,1.2348481,3.28052,0.8768486,1.4,0.0666666666666666,1,1,1,0,2,0,1,0,1,1.0,1.0,1,1,1,1,MOZ,circle,0.125663706143592,-15.278989,36.517193,2015,18.0,0.2516159589527811,0.150696347508161,0.7295478581715626,0.0331496920647806,0.2214693823173179,0.0444570773676472,0.7212923520051457,2403.9,2315.5,5049.0,970.0,1076.4678370883703,1013.5,4405.0,2450.7571428571428,2440.0,3571.0,1588.0,470.8267329379028,1611.0,3311.0,1901.0857142857144,1708.75,3326.0,786.0,715.1774154083755,849.0,2948.0,576.9857142857143,523.6666666666666,1805.0,166.0,290.9970786724815,212.0,1182.0,614.1428571428571,568.25,1178.0,266.0,241.5378873394569,297.5,1128.0,766.7285714285714,701.0,1378.0,354.0,244.28092267648225,444.0,1373.0,878.0285714285715,883.0,1886.0,317.0,285.320820502544,373.0,1244.0,1271.2142857142858,1202.857142857143,2383.0,824.0,318.5990266713292,837.3333333333334,1800.0,1881.6142857142856,1684.5,4167.0,847.0,889.6336050445092,871.0,3565.0,2171.7,1959.5,4899.0,897.0,1098.0096063852473,935.75,4387.0,2185.4142857142856,1922.0,4680.0,896.0,1033.6252221167583,988.0,4108.0,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,17116.18181818182,17155.636363636364,17218.545454545456,17192.272727272728,17250.090909090908,17300.0,17367.545454545456,1403.7272727272727,4930.636363636364,332.6363636363636,-27.0,2.7999878,133.0,136.0,5.0,6.0,64.0,62.0,2.0,2.0,26.0,26.0,1.0,2.0,24.0,30.0,3.0,3.0,43.0,34.0,4.0,4.0,54.0,54.0,3.0,3.0,75.0,56.0,9.0,8.0,60.0,60.0,1.0,1.0,25.0,23.0,2.0,2.0,47.0,45.0,1.0,1.0,57.0,54.0,4.0,2.0,14.0,14.0,2.0,2.0,24.0,19.0,1.0,1.0,14.0,11.0,5.0,6.0,11.0,10.0,2.0,3.0
MAR_100,-0.91220933,0.077260055,-0.22121856,0.2,0.6666666666666666,0,0,0,4,4,4,4,4,0,0.0,0.0,0.1,0.1.1,0.1.1.1,0.1.1.1,MOZ,circle,0.125663706143592,-15.220336,36.75603,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_102,1.2964299,3.5613132,1.1417013,0.8666666666666667,0.6,1,1,1,0,2,0,1,0,1,1.0,1.0,1,1,1,1,MOZ,circle,0.125663706143592,-15.233552,36.764527,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_105,-0.6574461,0.029933417,0.82525873,0.2666666666666666,0.2,0,0,0,4,4,4,4,4,0,0.0,0.0,0.1,0.1.1,0.1.1.1,0.1.1.1,MOZ,circle,0.125663706143592,-15.257087,36.767228,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_106,0.09203317,1.5723174,0.66491973,0.9333333333333332,0.0,1,1,1,0,5,2,2,2,1,1.0,1.0,1,1.1,1.1,1.1,MOZ,circle,0.125663706143592,-15.241373,36.767823,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_107,0.8594242,3.0159314,0.85177267,0.8,0.2,1,1,1,0,2,0,1,0,1,1.0,1.0,1,1,1,1,MOZ,circle,0.125663706143592,-15.23956,36.767845,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_109,-0.67197704,-0.008403933,0.82657397,0.4,0.4,0,0,0,4,4,4,4,4,0,0.0,0.0,0.1,0.1.1,0.1.1.1,0.1.1.1,MOZ,circle,0.125663706143592,-15.257786,36.768517,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_11,0.24646929,2.1214268,0.7770039,0.7333333333333333,0.5333333333333333,1,1,1,0,5,2,2,2,1,1.0,1.0,1,1.1,1.1,1.1,MOZ,circle,0.125663706143592,-15.255569,36.535876,2015,18.0,0.2516159589527811,0.150696347508161,0.7295478581715626,0.0331496920647806,0.2214693823173179,0.0444570773676472,0.7212923520051457,2403.9,2315.5,5049.0,970.0,1076.4678370883703,1013.5,4405.0,2450.7571428571428,2440.0,3571.0,1588.0,470.8267329379028,1611.0,3311.0,1901.0857142857144,1708.75,3326.0,786.0,715.1774154083755,849.0,2948.0,576.9857142857143,523.6666666666666,1805.0,166.0,290.9970786724815,212.0,1182.0,614.1428571428571,568.25,1178.0,266.0,241.5378873394569,297.5,1128.0,766.7285714285714,701.0,1378.0,354.0,244.28092267648225,444.0,1373.0,878.0285714285715,883.0,1886.0,317.0,285.320820502544,373.0,1244.0,1271.2142857142858,1202.857142857143,2383.0,824.0,318.5990266713292,837.3333333333334,1800.0,1881.6142857142856,1684.5,4167.0,847.0,889.6336050445092,871.0,3565.0,2171.7,1959.5,4899.0,897.0,1098.0096063852473,935.75,4387.0,2185.4142857142856,1922.0,4680.0,896.0,1033.6252221167583,988.0,4108.0,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,17116.18181818182,17155.636363636364,17218.545454545456,17192.272727272728,17250.090909090908,17300.0,17367.545454545456,1403.7272727272727,4930.636363636364,332.6363636363636,-27.0,2.7999878,133.0,136.0,5.0,6.0,64.0,62.0,2.0,2.0,26.0,26.0,1.0,2.0,24.0,30.0,3.0,3.0,43.0,34.0,4.0,4.0,54.0,54.0,3.0,3.0,75.0,56.0,9.0,8.0,60.0,60.0,1.0,1.0,25.0,23.0,2.0,2.0,47.0,45.0,1.0,1.0,57.0,54.0,4.0,2.0,14.0,14.0,2.0,2.0,24.0,19.0,1.0,1.0,14.0,11.0,5.0,6.0,11.0,10.0,2.0,3.0
MAR_111,-1.0479449,-0.656377,0.7872694,0.5333333333333333,0.2666666666666666,0,0,0,4,4,4,4,4,0,0.0,0.0,0.1,0.1.1,0.1.1.1,0.1.1.1,MOZ,circle,0.125663706143592,-15.266368,36.769682,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
